100
2284
0 1 2
0 5 1
0 19 4
0 21 2
0 22 5
0 27 4
0 35 2
0 37 4
0 53 1
0 55 3
0 58 3
0 59 5
0 66 4
0 73 5
0 75 2
0 76 2
0 77 3
0 78 2
0 83 1
0 99 3
1 8 3
1 12 2
1 16 4
1 23 3
1 24 3
1 29 1
1 34 2
1 39 4
1 45 3
1 50 4
1 51 2
1 53 2
1 55 5
1 65 2
1 81 2
1 82 4
1 83 3
1 89 2
1 90 4
1 92 1
1 96 1
2 4 1
2 14 1
2 23 3
2 28 4
2 29 1
2 39 1
2 59 3
2 71 3
2 72 1
2 74 5
2 76 5
2 77 1
2 80 3
2 85 1
2 88 2
2 90 1
3 0 2
3 3 1
3 11 1
3 15 1
3 17 1
3 20 3
3 32 3
3 38 3
3 39 3
3 41 3
3 43 4
3 44 5
3 51 3
3 54 2
3 60 5
3 61 2
3 65 4
3 66 5
3 68 1
3 70 5
3 73 4
3 74 4
3 77 2
3 78 4
3 79 2
3 82 1
3 84 5
3 87 4
3 95 3
4 8 4
4 9 4
4 11 4
4 13 4
4 15 4
4 18 4
4 20 5
4 21 5
4 28 2
4 31 5
4 33 2
4 36 2
4 37 5
4 38 1
4 40 5
4 42 1
4 53 1
4 54 1
4 55 1
4 56 4
4 61 5
4 64 1
4 67 1
4 69 5
4 70 3
4 75 4
4 78 1
4 79 4
4 94 4
5 0 5
5 12 2
5 16 5
5 27 4
5 28 1
5 31 4
5 33 5
5 36 2
5 37 2
5 39 5
5 42 2
5 55 4
5 65 3
5 66 1
5 70 5
5 73 3
5 74 2
5 78 3
5 83 5
5 85 4
5 92 1
5 96 2
5 98 3
6 20 1
6 21 3
6 29 4
6 40 4
6 51 1
6 55 5
6 57 5
6 64 5
6 68 3
6 69 2
6 73 4
6 80 3
6 83 5
6 87 1
7 0 4
7 1 2
7 2 4
7 7 1
7 12 2
7 15 2
7 16 4
7 25 1
7 27 2
7 31 4
7 32 1
7 34 5
7 35 2
7 38 1
7 40 4
7 44 4
7 64 2
7 66 2
7 75 1
7 76 1
7 77 4
7 78 1
7 82 2
8 11 5
8 13 2
8 22 2
8 24 4
8 31 1
8 33 4
8 36 3
8 38 4
8 42 3
8 50 3
8 51 2
8 52 2
8 61 2
8 63 3
8 72 5
8 74 4
8 77 1
8 83 5
8 84 5
8 88 4
8 89 4
8 96 2
9 15 5
9 26 4
9 27 3
9 33 1
9 34 1
9 38 5
9 44 5
9 50 2
9 57 3
9 64 1
9 68 1
9 74 3
9 76 4
9 79 3
9 81 5
9 83 4
9 84 2
9 86 3
9 90 1
10 2 3
10 3 4
10 4 3
10 7 3
10 15 1
10 17 2
10 26 5
10 28 2
10 30 1
10 31 2
10 40 1
10 48 2
10 49 4
10 53 1
10 55 4
10 61 5
10 66 1
10 67 5
10 82 3
10 85 5
10 86 4
10 87 4
10 88 1
10 90 4
10 92 4
10 93 1
11 0 4
11 4 3
11 5 1
11 12 4
11 14 5
11 22 3
11 23 2
11 30 2
11 41 2
11 46 4
11 55 5
11 57 5
11 62 1
11 67 1
11 68 3
11 78 1
11 79 1
11 85 4
11 94 3
12 18 3
12 26 2
12 32 5
12 34 3
12 35 2
12 39 5
12 43 2
12 46 3
12 48 4
12 51 3
12 52 3
12 55 4
12 57 2
12 65 1
12 70 5
12 72 2
12 76 2
12 79 5
12 81 3
12 83 5
12 91 1
13 2 3
13 4 2
13 9 3
13 13 1
13 20 5
13 22 4
13 31 5
13 34 2
13 42 2
13 56 5
13 68 3
13 78 5
13 80 5
13 84 1
13 90 3
13 91 1
13 93 4
14 1 3
14 5 2
14 17 1
14 22 5
14 25 2
14 26 1
14 32 2
14 33 2
14 36 1
14 41 2
14 47 2
14 55 3
14 63 1
14 65 5
14 69 2
14 74 2
14 76 1
14 79 4
14 83 2
14 85 4
14 92 4
14 97 4
14 98 3
15 1 3
15 3 2
15 7 4
15 16 3
15 19 3
15 21 2
15 24 2
15 26 1
15 35 4
15 39 2
15 47 3
15 51 3
15 55 3
15 56 4
15 57 2
15 64 5
15 65 3
15 78 3
15 81 3
15 82 2
15 85 5
15 92 3
15 93 5
15 94 4
15 97 3
15 98 2
15 99 2
16 1 2
16 5 4
16 9 1
16 11 2
16 16 3
16 19 1
16 28 1
16 33 2
16 34 5
16 52 3
16 55 4
16 63 1
16 66 2
16 74 4
16 80 5
16 82 1
16 83 4
16 87 2
